WO Description,WO rem long desc,Cause object
24068-d : kpot-40316679;(-)moldback temp,replaced moldback drain output card,PLC / PLC Cards
24068-d : kpot-40316686;(+)extraction,replaced ps7,Pressure switch
sectors want close,ls15 prox bad,Sensor
hydraulic leak,a fitting for by the cabinet was loose,Fitting
24069-n : kpot-18254099;(-)membrane psi,changed membrane,Membrane
lid hook cyl blow-by,right lid hook air cylinder bad,Cylinder / Roll
24069-n : kpot-000000;(+)loading,operator said that membrane was pre inflated as the jib lowered cover down . found transducers to be clogged and not reading correctly . cleaned out lines.,Pressure Gauge / Gauge
want load cover,hole in membrane wouldnt load,Membrane
plc fault,cleared fault,Terminal block
keeps dropping cover from chariot,"picked up cover from chariot, checked cover fitment",Eccentric
mb want drain from reheat,transducers clogged - cleaned,Pressure Gauge / Gauge
24069-d : kpot-51047619;(+)extraction,adjusted ls1.,Limit Switch / Sensor
24069-d : kpot-21096014;(+)extraction,ps-7 failed - cleaned line and replaced,Pressure Gauge / Gauge
24069-d : kpot-76902687;(+)consecutive l1s,membrane leaking,Membrane
24070-n : kpot-29464544;(+)extraction,adjusted ls24,Limit Switch / Sensor
dropping covers at chariot at press,called cover to press didnt see anything weird fitment was fine,Terminal block
jib keeps dropping covers onto chariot,called cover to press couldnt duplicate issue fitment was fine,Terminal block
24070-n : kpot-68559461;(+)extraction,tire stuck to top shell had operator spray mold and checked sector speeds,Push Button
24070-n : kpot-54376264;(+)extraction,broke right lid hook pin,Pin / Clip
24070-n : kpot-58218833;(+)removed from auto,broken jib finger dcv gasket leaking by,Hydraulic Cylinder / Jack
membraine will not drain when flipped to drain,transducers reading vacuum . cleaned out lines,Nut
23246-n : kpot-84542070;(+)extraction,apparently the tire partially stuck in the mold as the jib was trying to pick it up and the tire ended up falling off and into the door . operator may not have realized it was a kpot and definitely didn't call (there wasn't anything for to do) but just fired the press back up.,Shim
23246-n : kpot-53461886;(+)removed from auto,"operator said the lid wouldn't lower, however it lowered fine for . everything was cleaned up when worker got over there so worker don't know exactly what happened . worker did see, however the union before the jib head cutoff was broken in the usual way . one lid hook pin had way too much play so worker went ahead and replaced it and then replaced the union on the jib . the lid down fine for so worker turned it over to the operator.",Fitting
wont go to precon height,"membrane was drifting down . d 18 was leaking out, replaced valve",Flow Control Valve
23246-n : kpot-15588573;(-)membrane psi,membrane leaking from bottom . had the time so removed the membrane to check the oring . it was in 2 pieces . replaced the oring and put the membrane back in then turned the press over to the operator,O-Ring
23246-n : kpot-18122621;(-)membrane psi,membrane o-ring failed,O-Ring
membrane temp differce,rtd cable,Temperature Sensor
locking leaking,replaced gasket and repaired,Pipe reducer
jib needs centering- standout for 46.1 on e31/17-thank you,put laser on jib head and jib head was centered over membrane plate and chariot . put press on reheat after checking centering,Process/CQ-Related
23246-d : kpot-18121003;(-)membrane psi,membrane and oring,Membrane
slow fill,replaced ps7 and cleaned line and connector,Pressure switch
23246-d : kpot-84542870;(-)membrane psi,replaced v19 solenoid and orings for solenoid . also replaced v19 airline fitting at the valve . ran 4 good bypasses and had operator start press back up,Gasket / Seal / Packing
gront locking ring hose leak,replaced fitting,Fitting
micro to nano conversions,changed orifices,Orifice
uncured pick up ht to low on chariot on j5 and j6,adjusted jib height behind line,Screw
want load cover membrane down to low,could not duplicate,Terminal block
23246-d : kpot-22111282;(+)extraction,crew 3 blew out transducers,Screw
press has a lid closing fault,could not duplicate,Terminal block
press will not count down when on reheat,could not duplicate,Terminal block
23246-d : kpot-30301738;(-)membrane psi,replaced orange hose.,Flexible Tubing / Hose
23247-n : kpot-30301862;(-)membrane psi,blew out transducers and ran a bunch of bypasses,Steam
23247-n : kpot-51003614;(+)removed from auto,lid didnt lower - locking ring not unlocked,Proximity Sensor / Switch
23247-n : kpot-80491005;(-)platen temp,clogged platen purge valve orifice.,Orifice
23247-n : kpot-15588717;(+)extraction,looks like the lid didn't raise on oscar . coudn't find anything wrong . ran a bunch of dry cycles . restarted.,Washer
23247-n : kpot-81683698;(+)extraction,"d-7 failed internally, replaced valve",Directional Valve
micro to nano,changed out orifices and timed press,Process/CQ-Related
nano to micro,changed out orifices and timed press,Orifice
lid will not rise or lower,air valve was left closed after dimension changed . opened air valve and press was able to cycle,Process/CQ-Related
ls10 is loose- lid is coming down hard and not hitting.,fixed ls10,Limit Switch / Sensor
23247-d : kpot-44387319;(-)moldback temp,replaced moldback purge valve solenoid . operator waiting on membrane to put in press.,Solenoid / Coil
purge valve is shooting out steam,moldback purge valve orifice gasket wore out . replaced with new orifice gasket,Gasket / Seal / Packing
plc fault,generic fault on slot 15. re-seated card and cleared fault . had operator put in new cure law and put press on reheat,PLC / PLC Cards
23247-d : kpot-88637472;(-)membrane psi,had operator replace membrane,Membrane
lid cycle tim4,replaced d3 and d3 bis,Directional Valve
23247-d : kpot-03181555;(+)membrane temp,v22 orifice clogged,Orifice
uncured pick up ht too low on the jib,went behind line and adjusted jib stop behind the press,Process/CQ-Related
want load cover membrane in precon height,replaced d18,Flow Control Valve
plc fault,"power supply for top rack not supplying dc voltage . has 120ac going in, but nothing out . replaced power supply . ended up changing backplane and top rtd card . downloaded from p12-p04 . handed off to operator",Power Supply
lid want open after reheat,worker did not finish working on press before leaving work . did not screw in air fitting all the way on new hydraulic valve and left airline for said valve off . screwed in fitting into valve and secured airline to fitting.,Process/CQ-Related
23247-d : kpot-22111917;(-)membrane psi,had operator replace membrane,Membrane
front right thrust jack needs tightening. gap is worse than the other frette rods.,tightened thrust worker nuts were loose,Terminal block
23247-d : kpot-58122456;(+)extraction,ls8 body loose . tightened down ls body and put press on reheat,Limit Switch / Sensor
23247-d : kpot-40234647;(-)platen temp,air supply for moldback and platen purge,Tube
jib not swing in,new style flow control closed off - opened and locked in position,Screw
23248-n : kpot-29292766;(+)dsp duration,membrane didn't drain . replaced left v21 actuator.,Directional Valve
23248-n : kpot-61989402;(+)dsp duration,changed v-21 actuator,Flow Control Valve
not picking up covers,block on centering pin behind press off - tapped holes and reinstalled,Screw
23248-n : kpot-15589709;(+)extraction,ps7 serpentine clogged,Pressure switch
uniformity check list,"jib guide rail bent, jib center cone sticking",Process/CQ-Related
d19 bis pipe spraying,"changed gasket on the d19 bis pipe, air leak on d15 quick exhaust.",Gasket / Seal / Packing
23248-d : kpot-29293465;(+)extraction,checked all the lid switches and ran a few cycles,Screw
jib cycle time,repaired air leaks in cabinet,Tube
46.1 checklist,completed checklist,Washer
rear purge valve is pouring into mold,changed moldback valve.,Directional Valve
replaced d1 ter,replaced d1 ter,Shut Off Valve
clean/change transducers to help w/ 32.1,cleaned and changed transducers,Pressure switch
r-08 leak detect,membrane failed,Membrane
23248-d : kpot-44387737;(+)extraction,repaired ps air line out side of cabinet,Flexible Tubing / Hose
lid raising fault,moved switch,Nut
replace d7 valve,placed d7 valve,Shut Off Valve
23248-d : kpot-88732199;(-)membrane psi,"hole in pipe, replaced ps7 pipe",Washer
replace insulation on j line,replaced insulation on j12 j11 j10 j09 j08 j07,Pipe / Rigid Tubing
23248-d : kpot-88732374;(+)extraction,door safety faulted,Safety Gate Interlock
"t01,t02,t03- lower precon & jib height 10mm please- study note on door- thank you",adj'ed precon height per quality group,Clevis
leak dect,membrane failed,Membrane
23248-d : kpot-30300809;(+)dsp duration,replaced output card,Input / Output Card
r-10 locking ring not locking to reheat,pan transducer and serpentine was clogged,Pressure switch
23248-d : kpot-88732614;(-)moldback temp,1 second moldback rtd loss,Terminal block
x-01 did not open after reheat,ls2 prox cable was broken . replaced prox cable,Terminal End
j06 hydraulic leak,rear locking ring open hose was rubbing on the jib as it swung in and out . replaced hose and routed it away from the jib.,Pipe / Rigid Tubing
g10 membrane not going to precon in between cures,it's run the last 3 cures with no pauses in between.,Terminal block
23249-n : kpot-52685919;(+)extraction,operator refire . probably either membrane stuck to cbo or double pickup?,Push Button
23249-n : kpot-22110546;(+)extraction,"had ps7 but transducers said there was half a bar of pressure in the membrane . when worker took one transducer off no pressure and the locking ring opened . ended up inflating the membrane with the transducers off and no took the hose loose, still no blew it out until the membrane started inflating and then inflated the membrane and started getting loaded the press up and the next cure opened up without issue.",Flexible Tubing / Hose
wont go to precon height,press needed reheat,Membrane
locking ring no close,"hole in diaphragm . replaced, made sure the lid would come down . removed the cover and returned to the operator . auto gen duplicate work order that worker saw after worker'd filled this one out: grs3967707",Diaphragm
46.1 checklist,did the first part of the checklist . found nothing of note.,Washer
f01 has a leak in front of the press,leak was coming from f02 . loose membrane hose fitting . tightened and gave back to operator.,Diaphragm
leak behind press,replaced gaskets and added a bracket,Pipe / Rigid Tubing
getting scrap 46.1's checklist started,cover fitment was too tight,Finger
replace 100 bar relief,replaced 100 bar relief,Shut Off Valve
23249-d : kpot-15591024;(+)loading,arm on ls10 had come loose,Limit Switch / Sensor
d19 orfice leaking,replaced gaskets,Orifice
embraine cycle time correction,replaced orfice,Orifice
replaced d3bis,replaced d3 and d3 bis,Relief Valve
replace d7 valve,replaced d7,Shut Off Valve
speed up sector open for api- sectors coming off slowly- getting 91.1-os on this,replaced d19 bis orifice,Orifice
lid close fault,lid hook pin broke for ls5,Pin / Clip
23250-n : kpot-23894018;(+)loading,ls15 not aligned after mold installed.,Process/CQ-Related
e03 uniformity checklist,completed checklist,Proximity Sensor / Switch
23250-n : kpot-58121948;(-)membrane temp,hole in the membrane at about the 8 or 9 oclock position by the top plate,Membrane
d3 connector pipe leaking,replaced connector pipe and gaskets,Pipe / Rigid Tubing
"pin hole in pipe, platen purge valve leaking","welders fixed pipe, replaced platen purge valve.",Pipe / Rigid Tubing
locking ring cycle tme correction and membraine circuit,replaced d18 leaking and d20,Shut Off Valve
23250-d : kpot-52687101;(+)extraction,tire stuck in press-operator took care of it,Mold
23250-d : kpot-40236233;(+)removed from auto,top seal plate screws on jib loose . jib shop guy tightened screws . d15 solenoid not working . replaced solenoid and jib started to function properly,Solenoid / Coil
23250-d : kpot-15591314;(-)moldback temp,replaced rtd and cleaned orifice,Orifice
23250-d : kpot-88734709;(+)membrane temp,v22 orifice clogged . cleared clog and replaced orifice gasket,Orifice
dcv leak on jib,replaced orings in dcv,Tube
23250-d : kpot-81685677;(+)loading,quality working,POST / STUD
lid cycle time correction,replaced lid and membrane orfice,Orifice
bead lift not lifting tire causing scrap,duplicate work order-could not duplicate problem,POST / STUD
blow out back of press,"locking ring hose through floor, from d7",Wheel
23250-d : kpot-88639226;(-)membrane psi,had operator replace membrane,Membrane
23251-n : kpot-40236839;(+)extraction,ps-7 clogged - changed ps 7 and cleaned line,Pressure switch
